order_id,order_date,amount,product_id,customer_id,quantity,discount,payment_method,city,category
221958,2022-01-01,1660,874,20773,3,10,NetBanking,Bangalore,Home
771155,2022-01-01,12054,279,33970,6,5,NetBanking,Pune,Books
231932,2022-01-01,17648,430,33998,6,0,Wallet,Delhi,Clothing
465838,2022-01-01,15178,625,29210,4,15,Card,Chennai,Beauty
359178,2022-01-01,5519,542,45088,9,5,UPI,Chennai,Electronics
744167,2022-01-01,2822,835,12683,6,15,NetBanking,Mumbai,Grocery
210268,2022-01-01,10650,988,3962,9,10,Cash,Chennai,Sports
832180,2022-01-01,16954,161,36095,2,0,Card,Mumbai,Beauty
154886,2022-01-01,1568,746,31000,6,25,Wallet,Chennai,Beauty
237337,2022-01-01,908,899,30137,4,20,Card,Chennai,Home
621430,2022-01-02,6819,453,36552,2,25,NetBanking,Bangalore,Electronics
187498,2022-01-02,16463,889,47253,5,15,Wallet,Hyderabad,Clothing
999159,2022-01-02,10691,851,34571,3,20,NetBanking,Bangalore,Grocery
275203,2022-01-02,5173,170,46321,6,10,UPI,Delhi,Electronics
291335,2022-01-02,8112,830,48350,8,15,Card,Hyderabad,Beauty
378167,2022-01-02,18129,698,44861,4,25,UPI,Bangalore,Beauty
141090,2022-01-02,13992,57,40164,4,10,Cash,Hyderabad,Clothing
429365,2022-01-02,8349,240,48578,5,20,UPI,Hyderabad,Home
164820,2022-01-02,17613,769,17559,6,10,Card,Hyderabad,Clothing
887201,2022-01-03,15247,358,43404,7,10,Cash,Chennai,Sports
421879,2022-01-03,17837,201,49074,6,10,NetBanking,Hyderabad,Clothing
818315,2022-01-03,867,444,45963,7,5,Cash,Chennai,Electronics
427069,2022-01-03,3995,837,6691,9,5,Card,Kolkata,Books
876997,2022-01-03,19938,827,4532,4,15,Wallet,Hyderabad,Home
299041,2022-01-03,10300,302,49991,1,10,Cash,Chennai,Beauty
891743,2022-01-03,7429,106,21733,9,25,NetBanking,Hyderabad,Home
203355,2022-01-03,15432,802,18927,7,10,Cash,Delhi,Electronics
335796,2022-01-03,14721,101,44114,4,10,UPI,Bangalore,Electronics
314176,2022-01-04,11434,97,14482,8,5,Wallet,Kolkata,Books
284779,2022-01-04,18274,665,27681,7,20,Card,Hyderabad,Sports
447449,2022-01-04,985,938,6456,2,10,Wallet,Delhi,Clothing
521909,2022-01-04,7834,29,4413,1,0,UPI,Bangalore,Sports
358795,2022-01-04,4006,506,8085,9,15,Wallet,Mumbai,Books
586232,2022-01-04,4592,665,28937,7,5,UPI,Kolkata,Electronics
600186,2022-01-04,9830,438,21563,1,20,Cash,Kolkata,Sports
256730,2022-01-04,2173,379,10332,4,0,Card,Hyderabad,Home
970910,2022-01-04,16796,73,38575,5,10,UPI,Mumbai,Clothing
484681,2022-01-05,6369,254,8386,5,25,UPI,Bangalore,Sports
249503,2022-01-05,17294,963,27337,5,25,Cash,Bangalore,Clothing
754811,2022-01-05,6941,911,35708,3,5,UPI,Hyderabad,Clothing
627035,2022-01-05,11055,516,30572,5,10,Card,Delhi,Home
748143,2022-01-05,2132,749,34424,4,15,NetBanking,Hyderabad,Clothing
552366,2022-01-05,9799,550,36271,5,5,Wallet,Delhi,Grocery
165725,2022-01-05,12837,20,12030,7,0,UPI,Pune,Grocery
229981,2022-01-05,10862,625,14138,5,25,Wallet,Hyderabad,Home
184654,2022-01-05,7229,535,48369,8,20,Wallet,Delhi,Beauty
691723,2022-01-06,19189,421,16646,8,20,NetBanking,Chennai,Books
419030,2022-01-06,8888,446,29812,3,15,UPI,Delhi,Beauty
428947,2022-01-06,2247,879,24422,5,20,Card,Delhi,Clothing
655839,2022-01-06,715,136,11645,4,20,UPI,Bangalore,Home
373538,2022-01-06,1047,505,15628,5,15,Wallet,Mumbai,Clothing
431236,2022-01-06,5777,933,25486,8,25,Cash,Hyderabad,Clothing
628178,2022-01-06,7966,760,23409,4,0,NetBanking,Bangalore,Grocery
665894,2022-01-06,2113,301,40266,5,5,Card,Mumbai,Sports
